							
							
energy	total	scatter	capture	fission			
456.3864	5.881804	0	0.1212124	0			
456.7857	5.82183	0	0.1112251	0			
457.185	5.767347	0	0.1025241	0			
457.5843	5.717505	0	0.09487953	0			
458.3828	5.629747	0	0.08221972	0			
459.1814	5.554866	0	0.0722954	0			
459.98	5.489992	0	0.06440653	0			
460.7786	5.433009	0	0.05806451	0			
461.5771	5.382345	0	0.05292328	0			
462.5532	5.327249	0	0.04790811	0			
463.5292	5.278262	0	0.04401161	0			
464.5053	5.234237	0	0.04102562	0			
465.4813	5.1934	0	0.03864033	0			
466.4574	5.155582	0	0.03684556	0			
467.4334	5.120185	0	0.03556604	0			
468.4094	5.086555	0	0.03471468	0			
469.3854	5.054339	0	0.03426307	0			
470.8939	5.006477	0	0.03432218	0			
472.4023	4.959884	0	0.0352826	0			
473.9107	4.913497	0	0.03721231	0			
475.4191	4.866323	0	0.0402726	0			
476.9275	4.817383	0	0.0447484	0			
477.6817	4.792016	0	0.04760206	0			
478.4359	4.765881	0	0.05096777	0			
479.1901	4.738704	0	0.05504452	0			
479.9443	4.71043	0	0.05991938	0			
480.6985	4.680949	0	0.06576478	0			
481.4527	4.650152	0	0.07281993	0			
482.1626	4.619899	0	0.08085322	0			
482.8724	4.588416	0	0.09060574	0			
483.5823	4.555788	0	0.1025793	0			
484.2921	4.522281	0	0.1174492	0			
485.002	4.488421	0	0.1360839	0			
485.3569	4.471666	0	0.1472581	0			
485.7118	4.455294	0	0.1600372	0			
486.0668	4.439596	0	0.1747245	0			
486.4217	4.424986	0	0.1916742	0			
486.7766	4.412017	0	0.2113662	0			
